incident_id,date,region,primary_service,incident_type,root_cause_category,control_or_data_plane,duration_minutes,blast_radius,impact_severity,customer_visible,retry_storm,cascading_failure,auto_failover_success,provider
AZ-2024-08-05,45509,Multiple Regions,Azure Front Door,Availability,Configuration_Error,Data,87,Multi-region,High,Yes,Yes,Yes,Yes,Azure
AZ-2024-07-30,45503,Multiple Regions,Azure Front Door/CDN,Connectivity,Internal_Network_Configuration_Error,Data,478,Multi-region,High,Yes,Yes,Yes,Yes,Azure
AZ-2024-07-19,45492,Global,Virtual Machines,Startup Failure,Software_Defect,Control,1440,Global,Critical,Yes,No,Yes,Partial,Azure
AZ-2024-07-18,45491,Central US,Azure Storage,Availability,Configuration_Error,Data,1460,Regional,Critical,Yes,Yes,Yes,Yes,Azure
AZ-2024-07-13,45486,14 Regions,Azure OpenAI,Service Failure,Deployment_Process_Gap,Control,1435,Multi-region,Critical,Yes,Yes,Yes,Yes,Azure
AZ-2024-07-12,45485,Australia East,Managed Identities,Authentication Failure,Configuration_Error,Control,333,Regional,High,Yes,No,Yes,Yes,Azure
AZ-2024-04-22,45404,China Regions,DNS,Resolution Failure,Configuration_Error,Control,135,Regional,High,Yes,No,Yes,No,Azure
AZ-2024-04-19,45401,West US,MySQL/MariaDB,Connectivity,Configuration_Error,Data,184,Regional,High,Yes,No,Yes,No,Azure
AZ-2024-03-14,45365,South Africa,Network,Connectivity,External_Network_Failure,Data,1500,Regional,High,Yes,Yes,Yes,Yes,Azure
AZ-2024-01-21,45312,Multi-region,Azure Resource Manager,Control Plane Failure,Software_Defect,Control,448,Multi-region,Critical,Yes,Yes,Yes,Yes,Azure
AZ-2023-09-16,45185,East US,Virtual Machines,Power Failure,Power_Infrastructure_Failure,Data,696,Regional,High,Yes,No,Yes,Yes,Azure
AZ-2023-08-30,45168,Australia East,Multiple Services,Power/Cooling,Cooling_Infrastructure_Failure,Data,4320,Regional,Critical,Yes,Yes,Yes,Yes,Azure
AZ-2023-07-06,45113,Global,Azure Monitor,Telemetry Failure,Capacity_Saturation,Control,585,Global,High,Yes,Yes,Yes,Yes,Azure
AZ-2023-07-05,45112,West Europe,Networking,Fiber Cut,External_Network_Failure,Data,520,Regional,High,Yes,Yes,Yes,Yes,Azure
AZ-2023-06-16,45093,West Europe,Networking,Packet Loss,Internal_Network_Configuration_Error,Data,291,Regional,High,Yes,Yes,Yes,No,Azure
AZ-2023-06-09,45086,Global,Azure Portal,DDoS,Security_Attack_DDoS,Control,110,Global,High,Yes,Yes,Yes,Yes,Azure
AZ-2023-03-23,45008,West Europe,Azure Resource Manager,CPU Saturation,Software_Defect,Control,310,Regional,High,Yes,Yes,Yes,No,Azure
AZ-2023-03-06,44991,West Europe,Azure Storage,Throttling,Configuration_Error,Data,840,Regional,High,Yes,Yes,Yes,No,Azure
AZ-2023-08-30-SQL,45168,Australia East,SQL Database,Ring Recovery Delay,Software_Defect,Data,4320,Regional,High,Yes,Yes,Yes,Yes,Azure
